Classification;Year;Period;Period Desc.;Aggregate Level;Is Leaf Code;Trade Flow Code;Trade Flow;Reporter Code;Reporter;Reporter ISO;Partner Code;Partner;Partner ISO;2nd Partner Code;2nd Partner;2nd Partner ISO;Customs Proc. Code;Customs;Mode of Transport Code;Mode of Transport;Commodity Code;Commodity;Qty Unit Code;Qty Unit;Qty;Alt Qty Unit Code;Alt Qty Unit;Alt Qty;Netweight (kg);Gross weight (kg);Trade Value (US$);CIF Trade Value (US$);FOB Trade Value (US$);Flag
S3;1994;1994;1994;5;1;1;Import;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;399312;;;;399312;;189834;;;0
S3;1994;1994;1994;5;1;2;Export;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;1125;;;;1125;;4156;;;0
S3;1994;1994;1994;5;1;1;Import;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;4130148;;;;4130148;;398001;;;0
S3;1994;1994;1994;5;1;2;Export;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;10875;;;;10875;;25322;;;0
S3;1994;1994;1994;5;1;2;Export;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;99007;;;;99007;;82495;;;0
S3;1995;1995;1995;5;1;1;Import;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;7176424;;;;7176424;;2526050;;;0
S3;1995;1995;1995;5;1;2;Export;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;8331611;;;;8331611;;2780601;;;0
S3;1995;1995;1995;5;1;1;Import;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;306710;;;;306710;;129164;;;0
S3;1995;1995;1995;5;1;2;Export;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;4375;;;;4375;;22817;;;0
S3;1995;1995;1995;5;1;1;Import;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;2930000;;;;2930000;;348904;;;0
S3;1995;1995;1995;5;1;1;Import;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;36800;;;;36800;;226981;;;0
S3;1995;1995;1995;5;1;2;Export;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;39500;;;;39500;;43550;;;0
S3;1996;1996;1996;5;1;1;Import;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;91595976;;;;91595976;;2050998;;;0
S3;1996;1996;1996;5;1;2;Export;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;8956011;;;;8956011;;2639716;;;0
S3;1996;1996;1996;5;1;1;Import;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;1027312;;;;1027312;;251290;;;0
S3;1996;1996;1996;5;1;2;Export;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;5125;;;;5125;;20121;;;0
S3;1996;1996;1996;5;1;1;Import;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;3126625;;;;3126625;;365984;;;0
S3;1996;1996;1996;5;1;1;Import;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;35601;;;;35601;;201164;;;0
S3;1996;1996;1996;5;1;2;Export;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;33101;;;;33101;;18798;;;0
S3;1997;1997;1997;5;1;1;Import;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;114550304;;;;114550304;;4830067;;;0
S3;1997;1997;1997;5;1;2;Export;40;Austria;AUT;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;11215668;;;;11215668;;2811294;;;0
S3;1997;1997;1997;5;1;2;Export;40;Austria;AUT;156;China;CHN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;4500;;;;4500;;2295;;;0
S3;1997;1997;1997;5;1;1;Import;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;11872300;;;;11872300;;1784110;;;0
S3;1997;1997;1997;5;1;2;Export;40;Austria;AUT;381;Italy;ITA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;10750;;;;10750;;25411;;;0
S3;1997;1997;1997;5;1;1;Import;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;3739312;;;;3739312;;435571;;;0
S3;1997;1997;1997;5;1;2;Export;40;Austria;AUT;705;Slovenia;SVN;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;30011;;;;30011;;14837;;;0
S3;1997;1997;1997;5;1;1;Import;40;Austria;AUT;842;USA;USA;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;8;Weight in kilograms;35198;;;;35198;;294753;;;0
