Classification;Year;Period;Period Desc.;Aggregate Level;Is Leaf Code;Trade Flow Code;Trade Flow;Reporter Code;Reporter;Reporter ISO;Partner Code;Partner;Partner ISO;2nd Partner Code;2nd Partner;2nd Partner ISO;Customs Proc. Code;Customs;Mode of Transport Code;Mode of Transport;Commodity Code;Commodity;Qty Unit Code;Qty Unit;Qty;Alt Qty Unit Code;Alt Qty Unit;Alt Qty;Netweight (kg);Gross weight (kg);Trade Value (US$);CIF Trade Value (US$);FOB Trade Value (US$);Flag
S3;2016;2016;2016;5;1;1;Import;84;Belize;BLZ;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;502484;;;;502484;;118374;;;6
S3;2016;2016;2016;5;1;2;Export;84;Belize;BLZ;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;20;;;;20;;2;;;2
S3;2016;2016;2016;5;1;1;Import;90;Solomon Isds;SLB;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;1;No Quantity;;;;;;;143858;;;0
S3;2016;2016;2016;5;1;2;Export;90;Solomon Isds;SLB;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;23089;;;;23089;;12084;;;6
S3;2016;2016;2016;5;1;1;Import;96;Brunei Darussalam;BRN;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;3545076;;;;3545076;;1077946;;;4
S3;2016;2016;2016;5;1;2;Export;96;Brunei Darussalam;BRN;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;6660;;;;6660;;5783;;;4
S3;2016;2016;2016;5;1;1;Import;100;Bulgaria;BGR;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;4364505;;;;4365863;;3121090;;;2
S3;2016;2016;2016;5;1;2;Export;100;Bulgaria;BGR;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;28007174;;;;28018547;;1516437;;;2
S3;2016;2016;2016;5;1;1;Import;104;Myanmar;MMR;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;6235076;;;;6236165;;8194713;;;6
S3;2016;2016;2016;5;1;2;Export;104;Myanmar;MMR;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;130996;;;;130996;;210040;;;2
S3;2016;2016;2016;5;1;1;Import;108;Burundi;BDI;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;4692;;;;12921;;7621;;;0
S3;2016;2016;2016;5;1;2;Export;108;Burundi;BDI;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;15338;;;;15398;;11218;;;0
S3;2016;2016;2016;5;1;1;Import;112;Belarus;BLR;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;33443409;;;;34510062;;9362600;;;0
S3;2016;2016;2016;5;1;2;Export;112;Belarus;BLR;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;19845024;;;;20239403;;3287800;;;0
S3;2016;2016;2016;5;1;1;Import;116;Cambodia;KHM;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;14304981;;;;14843818;;3461885;;;0
S3;2016;2016;2016;5;1;2;Export;116;Cambodia;KHM;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;23;;;;32;;8;;;0
S3;2016;2016;2016;5;1;1;Import;120;Cameroon;CMR;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;293022;;;;293022;;212322;;;2
S3;2016;2016;2016;5;1;2;Export;120;Cameroon;CMR;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;8688866;;;;8688866;;1538637;;;2
S3;2016;2016;2016;5;1;1;Import;124;Canada;CAN;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;110948914;;;;;;76547555;;;0
S3;2016;2016;2016;5;1;2;Export;124;Canada;CAN;0;World;WLD;;;;;;;;11101;Waters, including natural or artificial mineral waters and aerated waters;7;Volume in litres;172028923;;;;172028923;;21930524;;;0
